New_geog_code,geog_c,geog_n,CLA_Pop2018
E09000001,201,City of London,1453
E09000007,202,Camden,50983
E09000011,203,Greenwich,68917
E09000012,204,Hackney,63655
E09000013,205,Hammersmith and Fulham,36898
E09000019,206,Islington,42098
E09000020,207,Kensington and Chelsea,28678
E09000022,208,Lambeth,62629
E09000023,209,Lewisham,68458
E09000028,210,Southwark,65121
E09000030,211,Tower Hamlets,70973
E09000032,212,Wandsworth,63840
E09000033,213,Westminster,47445
E09000002,301,Barking and Dagenham,63401
E09000003,302,Barnet,92701
E09000004,303,Bexley,56853
E09000005,304,Brent,77893
E09000006,305,Bromley,75055
E09000008,306,Croydon,94702
E09000009,307,Ealing,81732
E09000010,308,Enfield,84497
E09000014,309,Haringey,60398
E09000015,310,Harrow,58373
E09000016,311,Havering,57541
E09000017,312,Hillingdon,73377
E09000018,313,Hounslow,64898
E09000021,314,Kingston upon Thames,38977
E09000024,315,Merton,47266
E09000025,316,Newham,86567
E09000026,317,Redbridge,76159
E09000027,318,Richmond upon Thames,45525
E09000029,319,Sutton,47941
E09000031,320,Waltham Forest,67017
E08000025,330,Birmingham,288388
E08000026,331,Coventry,78994
E08000027,332,Dudley,69265
E08000028,333,Sandwell,81920
E08000029,334,Solihull,46946
E08000030,335,Walsall,68157
E08000031,336,Wolverhampton,61244
E08000011,340,Knowsley,33477
E08000012,341,Liverpool,94902
E08000013,342,St. Helens,36785
E08000014,343,Sefton,53833
E08000015,344,Wirral,67576
E08000001,350,Bolton,67670
E08000002,351,Bury,43142
E08000003,352,Manchester,121962
E08000004,353,Oldham,59416
E08000005,354,Rochdale,52689
E08000006,355,Salford,56566
E08000007,356,Stockport,63141
E08000008,357,Tameside,50223
E08000009,358,Trafford,56087
E08000010,359,Wigan,68388
E08000016,370,Barnsley,50727
E08000017,371,Doncaster,66448
E08000018,372,Rotherham,57196
E08000019,373,Sheffield,117497
E08000032,380,Bradford,142005
E08000033,381,Calderdale,46021
E08000034,382,Kirklees,100174
E08000035,383,Leeds,168176
E08000036,384,Wakefield,72893
E08000037,390,Gateshead,39605
E08000021,391,Newcastle upon Tyne,58056
E08000022,392,North Tyneside,41360
E08000023,393,South Tyneside,29920
E08000024,394,Sunderland,54563
E06000053,420,Isles of Scilly,368
E06000022,800,Bath and North East Somerset,35946
E06000023,801,"Bristol, City of",94016
E06000024,802,North Somerset,43435
E06000025,803,South Gloucestershire,58867
E06000001,805,Hartlepool,20006
E06000002,806,Middlesbrough,32513
E06000003,807,Redcar and Cleveland,27626
E06000004,808,Stockton-on-Tees,43521
E06000010,810,"Kingston Upon Hull, City of",57023
E06000011,811,East Riding of Yorkshire,62942
E06000012,812,North East Lincolnshire,34503
E06000013,813,North Lincolnshire,35714
E10000023,815,North Yorkshire,117499
E06000014,816,York,36572
E06000032,821,Luton,57375
E06000055,822,Bedford Borough,40088
E06000056,823,Central Bedfordshire,62515
E10000002,825,Buckinghamshire,124321
E06000042,826,Milton Keynes,68278
E10000007,830,Derbyshire,153272
E06000015,831,Derby,59899
E10000009,835,Dorset,76699
E06000029,836,Poole,30188
E06000028,837,Bournemouth,36373
E06000047,840,Durham,101040
E06000005,841,Darlington,22454
E10000011,845,East Sussex,106378
E06000043,846,Brighton and Hove,51005
E10000014,850,Hampshire,284002
E06000044,851,Portsmouth,44046
E06000045,852,Southampton,50832
E10000018,855,Leicestershire,140307
E06000016,856,Leicester,83994
E06000017,857,Rutland,7807
E10000028,860,Staffordshire,169603
E06000021,861,Stoke-on-Trent,57549
E06000054,865,Wiltshire,105692
E06000030,866,Swindon,50239
E06000036,867,Bracknell Forest,28336
E06000040,868,Windsor and Maidenhead,34604
E06000037,869,West Berkshire,35623
E06000038,870,Reading,37080
E06000039,871,Slough,42699
E06000041,872,Wokingham,39532
E10000003,873,Cambridgeshire,135719
E06000031,874,Peterborough,51137
E06000006,876,Halton,28617
E06000007,877,Warrington,44484
E10000008,878,Devon,145878
E06000026,879,Plymouth,52552
E06000027,880,Torbay,25423
E10000012,881,Essex,311172
E06000033,882,Southend-on-Sea,39540
E06000034,883,Thurrock,43762
E06000019,884,Herefordshire,36103
E10000034,885,Worcestershire,117783
E10000016,886,Kent,340140
E06000035,887,Medway,64391
E10000017,888,Lancashire,249727
E06000008,889,Blackburn with Darwen,38481
E06000009,890,Blackpool,28904
E10000024,891,Nottinghamshire,166542
E06000018,892,Nottingham,68651
E06000051,893,Shropshire,59839
E06000020,894,Telford and Wrekin,40620
E06000049,895,Cheshire East,76523
E06000050,896,Cheshire West and Chester,68054
E06000052,908,Cornwall,107810
E10000006,909,Cumbria,92500
E10000013,916,Gloucestershire,128136
E10000015,919,Hertfordshire,271005
E06000046,921,Isle of Wight,24869
E10000019,925,Lincolnshire,145641
E10000020,926,Norfolk,170810
E10000021,928,Northamptonshire,170235
E06000057,929,Northumberland,59011
E10000025,931,Oxfordshire,144788
E10000027,933,Somerset,110700
E10000029,935,Suffolk,152752
E10000030,936,Surrey,261905
E10000031,937,Warwickshire,115928
E10000032,938,West Sussex,174672
